num_step,num_tokens,path
489000,2163179520000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step489000
488000,2158755840000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step488000
487000,2154332160000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step487000
486000,2149908480000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step486000
485000,2145484800000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step485000
484000,2141061120000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step484000
483000,2136637440000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step483000
482000,2132213760000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step482000
481000,2127790080000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step481000
480000,2123366400000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step480000
479000,2118942720000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step479000
478000,2114519040000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step478000
477000,2110095360000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step477000
476000,2105671680000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step476000
475000,2101248000000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step475000
474000,2096824320000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step474000
473000,2092400640000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step473000
472000,2087976960000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step472000
471000,2083553280000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step471000
470000,2079129600000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step470000
469000,2074705920000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step469000
468000,2070282240000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step468000
467000,2065858560000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step467000
466000,2061434880000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step466000
465000,2057011200000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step465000
464000,2052587520000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step464000
463000,2048163840000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step463000
462000,2043740160000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step462000
461000,2039316480000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step461000
460000,2034892800000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step460000
459000,2030469120000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step459000
458000,2026045440000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step458000
457000,2021621760000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step457000
456000,2017198080000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step456000
455000,2012774400000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step455000
454000,2008350720000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step454000
453000,2003927040000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step453000
452000,1999503360000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step452000
451000,1995079680000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step451000
450000,1990656000000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step450000
449000,1986232320000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step449000
448000,1981808640000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step448000
447000,1977384960000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step447000
446000,1972961280000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step446000
445000,1968537600000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step445000
444000,1964113920000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step444000
443000,1959690240000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step443000
442000,1955266560000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step442000
441000,1950842880000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step441000
440000,1946419200000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step440000
439000,1941995520000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step439000
438000,1937571840000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step438000
437000,1933148160000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step437000
436000,1928724480000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step436000
435000,1924300800000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step435000
434000,1919877120000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step434000
433000,1915453440000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step433000
432000,1911029760000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step432000
431000,1906606080000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step431000
430000,1902182400000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step430000
429000,1897758720000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step429000
428000,1893335040000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step428000
427000,1888911360000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step427000
426000,1884487680000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step426000
425000,1880064000000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step425000
424000,1875640320000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step424000
423000,1871216640000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step423000
422000,1866792960000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step422000
421000,1862369280000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step421000
420000,1857945600000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step420000
419000,1853521920000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step419000
418000,1849098240000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step418000
417000,1844674560000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step417000
416000,1840250880000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step416000
415000,1835827200000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step415000
414000,1831403520000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step414000
413000,1826979840000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step413000
412000,1822556160000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step412000
411000,1818132480000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step411000
410000,1813708800000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step410000
409000,1809285120000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step409000
408000,1804861440000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step408000
407000,1800437760000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step407000
406000,1796014080000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step406000
405000,1791590400000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step405000
404000,1787166720000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step404000
403000,1782743040000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step403000
402000,1778319360000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step402000
401000,1773895680000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step401000
400000,1769472000000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step400000
399000,1765048320000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step399000
398000,1760624640000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step398000
397000,1756200960000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step397000
396000,1751777280000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step396000
395000,1747353600000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step395000
394000,1742929920000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step394000
393000,1738506240000,s3://ai2-llm/checkpoints/7b/v1_5-mix-mitch-ish/step393000
